gapId,title,primaryCategory,secondaryCategories,domainIds,currentStatus,targetLevel,severity,dependencies,acceptanceEvidence,recommendedOwnerArea,dependencyCriticality,safetyImpact,claimRisk,targetUnblockValue,observedFact,recommendation
gap-00cf9c01c13ff0c15b51,Semantic stability: Methods,Verification_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""A published compatibility/stability policy governing Methods with cross-revision guarantees and a negative-change process.""]",Language & type system,1,0,2,1,"Methods has parser/typechecker implementation evidence (evidence-144d8c1ed5cd5ce830bf, evidence-19429a0e9339edd0ae79, evidence-1da33b48535aee270420, evidence-2274d0884e4bb05a4b7b, evidence-268264b031bca69dacf8, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-588637a269b6497fbb2c, evidence-5e9356cb17ef95d4be12, evidence-64bece4cc18508fe729c, evidence-671e810b7e2ffe60fbb3, evidence-75e1ab5848df15d611f9, evidence-ab1211a8f56a35c0eb97, evidence-ae007f2fb227b343aae0, evidence-aeda7ee5443349dc5a62, evidence-b789df43e6f1c88b625e, evidence-b953368c149d6d373032, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-cbeee7c906e568ad120b, evidence-ccbe839da67a36757cd4, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-ec91ba371bb7b1739de5, evidence-efb3f9adec4a1c735fee, evidence-f1ba1a49ff3e526f119e, evidence-fb197b693252737d9eee, evidence-fb3b99361260bfe222c0, evidence-fffdbd2d9a627d7fd662) but no compatibility policy, so its semantics are not yet stable across revisions.",Define a compatibility policy for Methods so implemented behavior cannot silently change between revisions.
gap-00f7b615a57984d7b9b0,Semantic stability: Initialization,Verification_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,High,[],"[""A published compatibility/stability policy governing Initialization with cross-revision guarantees and a negative-change process.""]",Language & type system,2,1,2,1,"Initialization has parser/typechecker implementation evidence (evidence-19429a0e9339edd0ae79, evidence-1da33b48535aee270420, evidence-268264b031bca69dacf8, evidence-588637a269b6497fbb2c, evidence-64bece4cc18508fe729c, evidence-75e1ab5848df15d611f9, evidence-ae007f2fb227b343aae0, evidence-aeda7ee5443349dc5a62, evidence-b953368c149d6d373032, evidence-cbeee7c906e568ad120b, evidence-ccbe839da67a36757cd4, evidence-ec91ba371bb7b1739de5, evidence-f1ba1a49ff3e526f119e, evidence-fb3b99361260bfe222c0) but no compatibility policy, so its semantics are not yet stable across revisions.",Define a compatibility policy for Initialization so implemented behavior cannot silently change between revisions.
gap-01281b71e72983262888,Runtime/library/package gap: Hosted runtime services,Implementation_Gap,[],"[""capability-runtime-hosted-services""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""Current hosted runtime services implemented on the host OS and C++ runtime."",""Hosted runtime services depend on the host OS and are not a freestanding runtime.""]",Freestanding Runtime,1,0,1,1,Hosted runtime services has no accepted current implementation satisfying Requirement 8.1; strongest observed status is Unknown (no matching evidence found).,Implement and verify Hosted runtime services before depending on it for freestanding or ecosystem work.
gap-01a36d88848621ea016d,Runtime/library/package gap: Package compatibility governance,Ecosystem_Gap,[],"[""capability-package-compatibility""]",Unknown,T1_Independent_Language_Platform,Medium,[],"[""Implemented package compatibility governance support with direct implementation evidence."",""Package compatibility governance has no accepted implementation evidence.""]",Package & Ecosystem,1,0,1,1,Package compatibility governance has no accepted current implementation satisfying Requirement 8.5; strongest observed status is Unknown (no matching evidence found).,Implement and verify Package compatibility governance before depending on it for freestanding or ecosystem work.
gap-01f77d1a57f0041a5d3f,Userspace observability gap,Implementation_Gap,[],"[""capability-observability-userspace""]",Unknown,T4_Isolated_Userspace_Platform,Medium,"[""gate-773cbe5008ea0adfbf60""]","[""Disclosed limitations must remain recorded: No Nebula-owned isolated userspace exists, so no userspace observability exists."",""Userspace observability owned by a Nebula isolated-userspace platform with direct implementation evidence.""]",Userspace & Isolation,2,1,0,2,Userspace observability: no OS-substrate implementation evidence exists (authoritative source docs/universeos/architecture.md).,Implement Userspace observability in a Nebula-owned OS substrate; compiler or hosted-service operations evidence cannot raise this capability's maturity.
gap-03d3dac86df625f40d8e,Normative language contract: Error effects,Language_Gap,[],"[""domain-fbe7266f95fc90d9eac1""]",Unknown,T1_Independent_Language_Platform,High,[],"[""A normative specification for Error effects with cross-revision compatibility guarantees and matching parser/typechecker evidence.""]",Language & type system,1,1,1,1,"Error effects is documented in spec/language_core.md with direct implementation evidence evidence-144d8c1ed5cd5ce830bf, evidence-19429a0e9339edd0ae79, evidence-1da33b48535aee270420, evidence-2274d0884e4bb05a4b7b, evidence-268264b031bca69dacf8, evidence-2eeda1ed4d6bcbe8ba41, evidence-36510b73f83da25ec5e4, evidence-588637a269b6497fbb2c, evidence-5e9356cb17ef95d4be12, evidence-64bece4cc18508fe729c, evidence-671e810b7e2ffe60fbb3, evidence-75e1ab5848df15d611f9, evidence-ab1211a8f56a35c0eb97, evidence-ae007f2fb227b343aae0, evidence-aeda7ee5443349dc5a62, evidence-b789df43e6f1c88b625e, evidence-b953368c149d6d373032, evidence-c48d330d91a1c571cee6, evidence-c79ceda34fd4137276cd, evidence-cbeee7c906e568ad120b, evidence-ccbe839da67a36757cd4, evidence-dd282ac22cd0e59062f2, evidence-e67eed220d2c48ee199b, evidence-ec91ba371bb7b1739de5, evidence-efb3f9adec4a1c735fee, evidence-f1ba1a49ff3e526f119e, evidence-fb197b693252737d9eee, evidence-fb3b99361260bfe222c0, evidence-fffdbd2d9a627d7fd662; current classified status is Unknown.",Publish and freeze the normative semantics for Error effects with a versioned compatibility contract before depending on it for system-level work.
gap-0b0dd6cf2f0eac434133,Nebula-owned process and address-space isolation gap,Implementation_Gap,[],"[""capability-userspace-process-isolation""]",Unsupported,T4_Isolated_Userspace_Platform,Critical,"[""gate-31536f160af23ad4d269""]","[""A Nebula-owned process/syscall boundary with address-space isolation and direct current implementation evidence, not a hosted control plane."",""Disclosed limitations must remain recorded: Host-owned / thin-host adjacency belongs to T0 and cannot raise this T4 capability's maturity above 0.; No Nebula-owned process/syscall boundary exists; hosted service-manager examples are not an OS process supervisor.""]",Userspace & Isolation,4,3,0,4,"Nebula-owned process and address-space isolation: only host-owned / thin-host adjacency exists (T0), so this T4 capability stays Maturity_Score 0 (authoritative source docs/universeos/kernel_boundary.md).",Establish a Nebula-owned process/syscall boundary with address-space isolation before any T4 userspace capability can exceed Maturity_Score 0.
gap-0ca11dda5d7d370af4a8,Provenance gap,Verification_Gap,[],"[""capability-release-provenance""]",Unknown,T1_Independent_Language_Platform,High,[],"[""Generated build provenance attestations with direct evidence.""]",Release Engineering,1,1,1,1,Provenance: no direct current implementation evidence (strongest observed status Unknown); authoritative source .github/workflows/release.yml.,Provide direct implementation/execution evidence for Provenance; scoped compiler/tooling or Linux backend SDK release evidence cannot raise OS-substrate maturity.
gap-103c21dd7f9678e8ddbf,"Identity, policy, time, and configuration services gap",Implementation_Gap,[],"[""capability-userspace-identity-policy-time-config""]",Unknown,T4_Isolated_Userspace_Platform,Medium,"[""gate-42b6c22c8d119e7057bc""]","[""Disclosed limitations must remain recorded: Host-owned / thin-host adjacency belongs to T0 and cannot raise this T4 capability's maturity above 0.; No Nebula-owned identity, policy, time, or configuration services exist."",""Nebula-owned identity, policy, time, and configuration services with direct implementation evidence.""]",System Services,2,1,0,2,"Identity, policy, time, and configuration services: only host-owned / thin-host adjacency exists (T0), so this T4 capability stays Maturity_Score 0 (authoritative source docs/universeos/kernel_boundary.md).","Implement Identity, policy, time, and configuration services above a Nebula-owned process/syscall boundary; host-owned adjacency cannot raise this T4 capability's maturity."
gap-10827d75ea63c0b792ca,Crash consistency gap,Implementation_Gap,[],"[""capability-reliability-crash-consistency""]",Unknown,T4_Isolated_Userspace_Platform,Medium,"[""gate-7e6ff8c1b7bf228d2952""]","[""A crash-consistency guarantee for OS storage/state with direct implementation evidence."",""Disclosed limitations must remain recorded: No Nebula-owned crash-consistency guarantee exists.""]",System Services,2,2,0,2,Crash consistency: no OS-substrate implementation evidence exists (authoritative source docs/universeos/architecture.md).,Implement Crash consistency in a Nebula-owned OS substrate; compiler or hosted-service operations evidence cannot raise this capability's maturity.
